min,max,mean,count,std,year,month,adm3_pcode,adm3_en,adm2_en,adm1_en,zscore_category
-0.21718358993530273,0.540961503982544,0.104500412940979,5,0.2665872192237806,2024,3,ET010408,Ofla,Southern,Tigray,Normal
,,,0,,2024,3,ET010409,Maichew town,Southern,Tigray,Normal
,,,0,,2024,3,ET010410,Korem town,Southern,Tigray,Normal
,,,0,,2024,3,ET010411,Alamata town,Southern,Tigray,Normal
,,,0,,2024,3,ET010412,Mekhoni town,Southern,Tigray,Normal
-0.3421317934989929,-0.13052432239055634,-0.20184954007466635,3,0.09919924063299844,2024,3,ET010413,Zata,Southern,Tigray,Normal
-0.22303064167499542,0.39471235871315,0.009794195493062338,6,0.23784718156748882,2024,3,ET010414,Chercher,Southern,Tigray,Normal
-0.40244919061660767,-0.2726953625679016,-0.3477079300653367,42,0.03201333448289571,2024,3,ET010501,Kafta Humera,Western,Tigray,Normal
-0.5172728896141052,-0.3377193808555603,-0.4261918067932129,20,0.047834938713384706,2024,3,ET010502,Welkait,Western,Tigray,Normal
-0.546963632106781,-0.280647337436676,-0.43925685352749294,18,0.0635249729838922,2024,3,ET010503,Tsegede (TG),Western,Tigray,Normal
-0.2980055510997772,-0.2980055510997772,-0.2980055510997772,1,0.0,2024,3,ET010504,Setit Humera,Western,Tigray,Normal
-0.40029847621917725,-0.336534321308136,-0.37203121185302734,8,0.023555120058398955,2024,3,ET010505,May Kadra,Western,Tigray,Normal
-0.42169126868247986,-0.4000297486782074,-0.4113134808010525,9,0.0067098499609224834,2024,3,ET010506,Dansha town,Western,Tigray,Normal
-0.4886315166950226,-0.38336387276649475,-0.42313942313194275,8,0.03462048731084168,2024,3,ET010507,Awra (TG),Western,Tigray,Normal
-0.4419460892677307,-0.41110947728157043,-0.4231165051460266,4,0.012012116041985427,2024,3,ET010508,Korarit,Western,Tigray,Normal
,,,0,,2024,3,ET010509,May Gaba,Western,Tigray,Normal
-0.7661515474319458,-0.6367146968841553,-0.7151703834533691,5,0.045734607970896186,2024,3,ET010601,Saharti,South Eastern,Tigray,Normal
-0.7924110889434814,0.5880604982376099,-0.058064781702481784,13,0.5572669967095915,2024,3,ET010602,Enderta,South Eastern,Tigray,Normal
-0.5965129137039185,0.258505254983902,-0.24375572204589843,5,0.37780986948602135,2024,3,ET010603,Hintalo,South Eastern,Tigray,Normal
-0.6820711493492126,-0.57706618309021,-0.620194673538208,4,0.038297819937354816,2024,3,ET010604,Degua Temben,South Eastern,Tigray,Normal
,,,0,,2024,3,ET010605,Hagere Selam town,South Eastern,Tigray,Normal
-0.8334090113639832,-0.5507037043571472,-0.6988282637162642,11,0.09895142353626035,2024,3,ET010606,Samre,South Eastern,Tigray,Normal
0.21992406249046326,0.21992406249046326,0.21992406249046326,1,0.0,2024,3,ET010607,Adigudom,South Eastern,Tigray,Normal
0.22977878153324127,0.6659398078918457,0.5046967400444878,9,0.17269267933958604,2024,3,ET010608,Wajirat,South Eastern,Tigray,Normal
-0.3916074335575104,0.4475180506706238,0.059714049100875854,6,0.3195808796998142,2024,3,ET010701,Mekelle,Mekelle,Tigray,Normal
-0.07121814042329788,0.6255180835723877,0.28324278918179596,44,0.2010973379433855,2024,3,ET020101,Dubti,Awsi /Zone 1,Afar,Normal
-0.06137486547231674,1.7000056505203247,0.6560201544510691,95,0.46252823302907564,2024,3,ET020102,Elidar,Awsi /Zone 1,Afar,Normal
-0.27490943670272827,0.2544350326061249,-0.052776106766292026,14,0.15532411725496767,2024,3,ET020103,Asayita,Awsi /Zone 1,Afar,Normal
-0.3687995970249176,-0.05343227460980415,-0.23867644582475936,14,0.08722760129259938,2024,3,ET020104,Afambo,Awsi /Zone 1,Afar,Normal
